HD 23189
UGC 2765
UGC 2826
2MASX J03350521+6902049
LP 54-19
IC 342
NGC 1502
G 247-15
G 247-14
G 247-10
PM J04127+6121
TYC 4065-1074-1
PN M 4-18
LP 84-21
G 175-34
G 175-32
LP 84-40
G 175-45
EGGR 180
TYC 3740-727-1
HD 237287
LSR J0455+5252
G 191-15
G 191-18
BD+49 1280
TYC 3356-266-1
BD+49 1288
G 191-17
HD 33167
Case 335
BD+46 2541
HD 173665
UGC 11329
BD+45 2743
BD+47 2682
G 205-38
TYC 3544-1459-1
TYC 3548-969-1
1RXS J184412.1+481415
LP 141-1
HD 175225
G 229-19
LSPM J1855+5248
LP 141-7
LP 141-14
HD 180161
NGC 6757
GD 532
HD 180712
NGC 6750
LP 104-141
NGC 6796
G 229-27
NGC 6789
G 260-22
G 260-31
LSPM J1927+6802
AC +66 6796
G 260-34
G 262-5
Z 342-1
HD 199476
G 261-23
BPM 16779
G 261-34
G 261-35
HD 204426
V* VW Cep
G 263-11
G 261-46
G 242-2
BD+79 738
UGC 12141
2MASS J22293307+7927137
HD 224446
BD+79 762
G 242-30
HD 220140B
HD 220140
HD 4741
G 242-48
LP 12-503
LP 12-304
MCC 92
BD+79 38
G 242-80
* 47 Cas
HD 15292
BD+74 118
LP 30-234
G 245-61
G 245-65
AC +75 1345
G 221-5
G 221-15
G 221-14
G 221-22
G 221-10
BD+73 186
G 221-16
UGC 2800
G 221-21
G 221-20
G 221-27
LP 31-302
UGC 2848
NGC 1343
UGC 2865
LEDA 166472
NGC 1485
UGC 2855
UGC 2866
NGC 1469
MCC 435
HD 25665
G 247-12
UGC 2955
IC 356
LSPM J0423+6928
HD 27380
MCC 436
LP 55-20
BD+64 452
V* MS Cam
G 247-25
G 247-26
NGC 1569
HD 29021
V* DP Cam
G 247-35
G 247-39
G 191-21
HD 32833
BD+52 911
LP 119-10
* 9 Aur
* 9 Aur B
* 9 Aur C
GD 289
NGC 1798
V* BK Aur
BD+44 1142
BD+44 1142B
HD 34887
G 96-29
G 96-29B
G 96-31
G 96-32
* alf Aur
BD+46 2497
G 205-25
StKM 1-1618
LP 182-4
LP 182-12
NAME BY Dra C
V* BY Dra
2MASSI J1847034+552243
HD 238913
G 227-39
G 227-40
HD 173740
G 227-43
HD 173739
G 229-21
BD+63 1470
LP 72-269
G 260-16
* del Dra
HD 182189
HD 183610
HD 182712
* sig Dra
BD+71 8595
HD 186922
G 261-16A
G 261-15B
G 261-9
AC +75 7803
G 261-24
BD+77 767
HD 193202
G 261-22
G 261-37
G 261-40
HD 198894
BD+78 738
G 261-39
BD+80 670B
PM J20301+7950
HD 209942
V* V376 Cep
HD 205521
BD+80 703
HD 216520
BD+82 733
BD+81 837
G 242-15
UGC 12221
HD 1165
HD 5312
HD 3440
GD 419
HD 5817
UGC 392
G 245-25
G 242-81
G 245-24
BD+81 74
BD+82 38
G 245-71
UGC 2519
G 245-78
IC 334
HD 24451
HD 26018
G 248-18
G 221-28
G 248-19
LP 14-283
NGC 1530
G 248-20
UGC 3085
LP 31-307
LP 32-85
G 247-33
G 247-24
HD 29713
UGC 3042
UGC 3048
NGC 1560
G 247-22
G 247-23
G 247-30
HD 29400
LP 32-304
LP 55-41
IC 396
HD 30376
HD 30957
HD 32715
HD 31675
G 247-44
HD 31864
HD 31865
G 247-47
G 247-45
G 191-30
G 191-29
StKM 1-543
HD 31662B
LSR J0515+5911
G 191-26
LP 119-27
BD+54 886
G 191-32
LP 119-29
LP 119-48
HD 34634
NGC 1883
G 96-45
BD+45 2688
HD 168009
HD 234648
V* V401 Dra
ROTSE1 J181922.88+515107.8
EGGR 374
V* EY Dra
TYC 3908-1503-1
G 227-26
G 227-28
G 227-30
UGC 11225
G 227-31
BD+63 1451
G 227-29
G 227-45
HD 171607
BD+61 1762
FBS 1832+631
TYC 4219-277-1
HD 172669
G 260-7
HD 176841
NGC 6667
LP 45-128
NGC 6689
LAWD 73
LP 44-334
* tau Dra
G 261-1
G 261-6
* 59 Dra
HD 186544
BD+78 671
