star_name,star_alternate_names
1SWASP J1407,
,
38 Vir,"HD 111998, HIP 62875"
55 Cnc,TOI-1773
TOI-469,"HD 42813, HIP 29442"
AD 3116,"EPIC 211946007, 2MASS J08423943+1924520"
AU Mic,
BD+20 594,"2MASS 03343623+2035574, 2MASS J03343623+2035574, EPIC 210848071, K2-56, TYC 1242-608-1, WISE J033436.26+203556.7"
CoRoT-10,
CoRoT-11,
CoRoT-12,
CoRoT-13,
CoRoT-14,
CoRoT-15,2MASS J06282781+0611105
CoRoT-16,
CoRoT-17,
CoRoT-18,
CoRoT-19,
CoRoT-1,
CoRoT-20,
CoRoT-21,
CoRoT-22,
CoRoT-23,
CoRoT-24,
CoRoT-25,
CoRoT-26,
CoRoT-27,
CoRoT-28,
CoRoT-29,
CoRoT-2,
CoRoT-30,
CoRoT-31,
CoRoT-32,CoRoT-223977153
CoRoT-33,"2MASS 18383391 + 0537287, USNO-A2 0900-13338694"
CoRoT-35,
CoRoT-36,
CoRoT-3,
CoRoT-4,
CoRoT-5,
CoRoT-6,
CoRoT-7,
CoRoT-8,
CoRoT-9,
DS Tuc A,
EPIC 201170410,
EPIC 201238110,"2MASS J11584943-0323218, K2-296, WISE J115849.41-032321.9"
K2-44,"2MASS J11360278-0231150, EPIC 201295312, WISE J113602.78-023115.2"
EPIC 201497682,"2MASS J11154478+0029171, K2-297, WISE J111544.79+002917.1"
EPIC 201757695,
K2-50,"2MASS J11175607+0559183, EPIC 201833600, WISE J111756.07+055917.9"
EPIC 201841433,"2MASS J11404960+0608054, K2-298, WISE J114049.62+060805.4"
EPIC 203868608 (AB),
EPIC 205084841,
K2-168,"EPIC 205950854, 2MASS J22122638-1620301, WISE J221226.40-162030.6"
EPIC 206024342,"2MASS J22050653-1407180, K2-299, WISE J220506.51-140718.2"
EPIC 206032309,"2MASS J22445778-1354031, K2-300"
EPIC 206042996,"2MASS J22300326-1336364, K2-301, WISE J223003.26-133636.4"
EPIC 206061524,2MASS J22201376-1306526
EPIC 206215704,"2MASS J22202278-0930341, K2-302"
K2-115,"2MASS J08261282+1216550, EPIC 211442297, WISE J082612.83+121654.7"
EPIC 211939692,
EPIC 211945201,"2MASS J09061775+1924080, K2-236, TYC 1404-1186-1, WISE J090617.78+192407.6"
EPIC 212036875,EP212
EPIC 212297394,"2MASS J13484949-1736355, K2-304, WISE J134849.47-173635.6"
EPIC 212424622,"2MASS J13291954-1421340, K2-305, WISE J132919.53-142133.9"
EPIC 212499991,"2MASS J13295729-1244051, K2-306, WISE J132957.29-124405.2"
EPIC 212587672,"2MASS J13414671-1051447, K2-307, TYC 5549-288-1, WISE J134146.69-105145.0"
EPIC 212737443,"2MASS J13365320-0719053, K2-310, WISE J133653.17-071905.1"
EPIC 219388192,"2MASS J19173402-1652177, CWW 89A"
EPIC 246193072,
EPIC 246851721,"TYC 1283-739-1, 2MASS J05154075+1616435"
Kepler-1708,
G 9-40,"2MASS J08585232+2104344, EPIC 212048748, K2-313, LSPM J0858+2104, TIC 203214081, WISE J085852.46+210430.8"
Gaia14aae,
Gaia-1,EDR3 3026325426682637824
Gaia-2,EDR3 1107980654748582144
Gaia EDR3 2077240046296834304,
GJ 1018,TOI-244
GJ 1132,
GJ 1214,
GJ 1252,
GJ 143,"HD 21749, TOI-186"
GJ 3090,TOI-177
GJ 3470,
GJ 3473,TOI-488
GJ 357,"L 678-39, Gliese 357, TOI 562"
GJ 367,TOI-731
GJ 3929,TOI-2013
GJ 436,
GJ 486,
GJ 9827,
GPX-1,
