1    ;HD 200466B                         ;PM*;21 02 21.5140494312 +37 39 13.566180816;     ~   ;9.338    ;8.57     ;8.1      ;     ~   ;K0V                   ;  12;   0,
2    ;V* V1876 Cyg                       ;Mi*;20 52 27.5259099216 +36 54 35.694858060;     ~   ;18.0     ;     ~   ;     ~   ;10.82    ;~                     ;   6;   0,
3    ;* 61 Cyg B                         ;Er*;21 06 55.2638444466 +38 44 31.358519864;8.63     ;7.40     ;6.03     ;4.86     ;3.55     ;K7V                   ; 714;   0,
4    ;* tau Cyg                          ;dS*;21 14 47.49252 +38 02 43.1441          ;4.140    ;4.120    ;3.730    ;3.38     ;3.14     ;F2IV                  ; 280;   0,
5    ;* 61 Cyg A                         ;BY*;21 06 53.9395895022 +38 44 57.902349973;7.50     ;6.39     ;5.21     ;4.19     ;3.54     ;K5V                   ;1027;   0,
6    ;G 211-14                           ;** ;21 14 46.8666501893 +38 01 14.288122274;     ~   ;13.32    ;11.946   ;11.63    ;     ~   ;M2.5V                 ;  45;   1,
7    ;TYC 3182-50-1                      ;PM*;21 22 14.2763069304 +39 13 11.416839888;     ~   ;11.44    ;10.43    ;     ~   ;     ~   ;~                     ;   2;   0,
8    ;V* V1334 Cyg                       ;cC*;21 19 22.1791528656 +38 14 14.868825648;     ~   ;6.364    ;5.882    ;     ~   ;     ~   ;F1II+B7.0V            ; 189;   0,
9    ;GAT 1383                           ;PM*;21 24 32.3170238073 +40 03 59.693988549;     ~   ;17.4     ;     ~   ;15.2     ;     ~   ;M5.5V                 ;  18;   0,
10   ;HD 205286                          ;PM*;21 33 08.8411926168 +40 49 27.517862532;     ~   ;     ~   ;     ~   ;7.2      ;     ~   ;K2                    ;  22;   0,
11   ;L 1578-44 B                        ;PM*;21 36 38.4350428973 +39 27 20.662749254;     ~   ;14.1     ;     ~   ;11.8     ;     ~   ;~                     ;  13;   0,
12   ;L 1578-44                          ;** ;21 36 38.5805432822 +39 27 20.498540853;     ~   ;     ~   ;10.18    ;     ~   ;     ~   ;M0V                   ;  48;   0,
13   ;PN Hu 1-2                          ;PN ;21 33 08.3106242400 +39 38 09.554428752;     ~   ;     ~   ;12.0     ;     ~   ;     ~   ;~                     ; 285;   1,
14   ;BD+40 4631                         ;PM*;21 44 29.9617171536 +41 35 50.864578188;     ~   ;11.11    ;9.674    ;9.231    ;     ~   ;K8V                   ;  50;   0,
15   ;G 212-54                           ;PM*;21 40 02.8778848218 +41 23 28.933677041;     ~   ;14.4     ;     ~   ;12.821   ;     ~   ;M2.5                  ;  11;   0,
16   ;HD 207966                          ;PM*;21 51 52.9320602575 +42 20 37.954048335;     ~   ;     ~   ;     ~   ;8.41     ;     ~   ;G8+M1                 ;  55;   0,
17   ;HD 207966B                         ;PM*;21 51 53.8873213580 +42 20 39.382734893;     ~   ;     ~   ;     ~   ;10.789   ;     ~   ;M0.5V                 ;  24;   0,
18   ;G 215-23                           ;PM*;21 55 13.7983067906 +42 51 48.025392321;     ~   ;15.9     ;     ~   ;13.6     ;     ~   ;~                     ;   8;   0,
