HD 200466B                         
V* V1876 Cyg                       
* 61 Cyg B                         
* tau Cyg                          
* 61 Cyg A                         
G 211-14                           
TYC 3182-50-1                      
V* V1334 Cyg                       
GAT 1383                           
HD 205286                          
L 1578-44 B                        
L 1578-44                          
PN Hu 1-2                          
BD+40 4631                         
G 212-54                           
HD 207966                          
HD 207966B                         
G 215-23                           
G 215-25                           
G 215-20                           
G 215-30                           
G 215-38                           
UGC 11891                          
G 215-43                           
UGC 11999                          
G 215-40                           
HD 213519                          
NAME I Lac                         
G 215-48                           
2MASS J22380742+4353179            
Ross 223                           
G 216-11                           
V* EV Lac                          
G 216-10                           
Ross 223A                          
Ross 223B                          
NAME Lacerta I                     
G 216-21                           
2MASS J22593244+4450284            
G 216-28                           
HD 218868                          
GSH 106-12-44                      
BD+45 4188                         
HD 220221                          
HD 220445                          
BD+44 4400                         
PN Vy 2-3                          
HD 218949                          
Ross 247                           
LP 239-25                          
Z 533-12                           
HD 220821                          
G 216-43                           
HD 222143                          
* lam And                          
BD+45 4378                         
LP 149-14                          
LP 239-58                          
IC 1525                            
BD+46 4175                         
LSPM J2351+4519                    
HD 38B                             
HD 38A                             
BD+44 4548                         
1RXS J000849.7+461142              
LP 191-37                          
LP 192-36                          
G 171-53                           
PM J00194+4614                     
LP 149-38                          
LP 149-50                          
LP 150-12                          
LP 150-6                           
BD+44 85                           
LP 150-16                          
BD+45 188                          
G 172-19                           
HD 3454                            
LP 150-40                          
G 172-30                           
G 172-28                           
LP 193-564                         
LP 194-1                           
G 172-41                           
LP 194-39                          
HD 7799                            
LP 194-45                          
LP 194-47                          
V* CH And                          
HD 8671                            
* ome And                          
LP 194-53                          
LP 195-25                          
HD 10307                           
BD+43 395                          
G 133-55                           
HD 11926                           
HD 13371                           
V* V450 And                        
HD 13531                           
G 74-9                             
HD 14622                           
V* LV And                          
V* DU And                          
G 134-35                           
V* MV And                          
BD+39 539                          
UGC 2034                           
V* MP And                          
GD 25                              
LP 196-58                          
BD+39 539B                         
BD+38 536                          
HD 16760                           
HD 16760B                          
IC 239                             
UGC 2157                           
UGC 2014                           
2MASXI J0240377+390326             
NGC 1023                           
* 16 Per                           
UGC 2259                           
NGC 1058                           
V* V370 Per                        
Ross 331                           
HD 19308                           
HD 18900                           
UGC 2526                           
UGC 2550                           
BD+34 548                          
HD 18493                           
LP 246-43                          
LP 246-45                          
LP 246-46                          
BD+37 4089                         
EGGR 261                           
HD 200077                          
V* VX Cyg                          
G 210-40                           
G 210-44                           
V* VY Cyg                          
BD+40 883                          
LP 234-1390                        
HD 203454                          
HD 200325                          
G 212-16                           
Cl Berkeley 54                     
Cl Berkeley 56                     
V* V2069 Cyg                       
V* V386 Cyg                        
LP 234-2142                        
G 212-50                           
LEDA 90392                         
UGC 11767                          
V* VZ Cyg                          
G 215-12                           
G 212-58                           
GSC 03192-00124                    
V* SS Cyg                          
V* V443 Lac                        
UGC 11923                          
G 215-21                           
HD 210731                          
NGC 7231                           
V* AR Lac                          
BD+45 3901                         
HD 212107                          
BD+46 3778                         
G 215-54                           
PN Me 2-2                          
LSPM J2251+4706                    
PSR J2305+4707                     
* 7 And                            
G 216-39                           
* 5 And                            
V* KZ And                          
HD 218739                          
HD 218790A                         
HD 218790B                         
PN K 1-20                          
TYC 3645-728-1                     
LSPM J2345+4942                    
HD 224465                          
Ross 250                           
G 171-25                           
Ross 249                           
EGGR 381                           
LP 191-43                          
LP 149-36                          
LP 149-56                          
HD 2057                            
MCG+08-01-041                      
UGC 256                            
PSR B0011+47                       
LP 149-39                          
HD 3079                            
G 172-1                            
G 217-51                           
NGC 147                            
BD+48 250                          
LP 150-45                          
NGC 185                            
LP 150-44                          
LP 150-53                          
G 172-26                           
IC 65                              
UGC 608                            
UGC 622                            
NGC 278                            
NAME Andromeda V                   
G 172-35                           
V* V359 And                        
LP 151-21                          
G 172-56                           
BD+47 414                          
HD 9125                            
LP 151-36                          
G 173-13                           
G 173-5                            
HD 10086                           
BD+44 351                          
BD+44 383                          
G 173-18                           
G 133-48                           
G 133-60                           
G 134-1                            
NGC 746                            
G 173-31                           
G 134-24                           
G 133-71                           
HD 13931                           
LP 196-29                          
[LE36] 2                           
2MASS J02132880+4444453            
2MASS J02140026+4243367            
LP 196-30                          
G 134-32                           
LP 197-5                           
UGC 1807                           
EGGR 16                            
LP 197-6                           
NGC 891                            
G 74-29                            
V* MX And                          
NGC 1003                           
HD 15830                           
LP 197-24                          
* 12 Per                           
G 74-43                            
LEDA 90627                         
2MASX J02480216+4047454            
BD+39 680                          
G 134-63                           
UGC 2463                           
HD 275122                          
Wolf 1324                          
V* V454 Per                        
UGC 2637                           
UGC 2543                           
HD 275227                          
LP 247-13                          
HD 19771A                          
HD 196850                          
G 209-38                           
GD 391                             
Ross 188                           
G 210-38                           
TYC 3170-429-1                     
V* TX Cyg                          
G 212-12                           
LSPM J2059+4202                    
NGC 7027                           
G 212-22                           
V* V1497 Cyg                       
LP 234-1558                        
LP 234-1707                        
LP 234-2214                        
LP 234-2426                        
V* V532 Cyg                        
LEDA 166712                        
IRAS 21287+4425                    
NAME Calar Alto 1                  
IC 5117                            
Case 659                           
G 212-45                           
LP 187-7                           
* rho Cyg                          
LSPM J2144+4610                    
HD 204814                          
HD 206963                          
Wolf 947                           
Wolf 944                           
HD 207031                          
Case 664                           
UGC 11909                          
UGC 11920                          
V* V383 Lac                        
GD 402                             
* alf Lac                          
G 216-2                            
G 215-46                           
HD 215704                          
LSPM J2237+4936N                   
HD 216275                          
LS III +51 42                      
G 216-30                           
BD+51 3557                         
LSPM J2311+5032                    
LSPM J2311+5103                    
G 233-55                           
NAME Andromeda VII                 
LP 191-6                           
HD 223552                          
G 217-23                           
PN A66 84                          
LSPM J2356+5311                    
G 217-31                           
TYC 3652-236-1                     
LP 149-35                          
V* TU Cas                          
2MASSI J0019457+521317             
LP 149-62                          
G 218-5                            
G 217-59                           
G 172-11                           
HD 3149                            
G 172-14                           
G 172-15                           
G 217-55                           
TYC 3257-1345-1                    
LP 150-13                          
HD 5372                            
G 172-22                           
2MASS J00552945+5115367            
PSR B0052+51                       
LEDA 2807102                       
LP 150-58                          
LP 151-22                          
UGC 731                            
LP 151-15                          
HD 9106                            
BD+49 436                          
PN M 1-1                           
GD 277                             
LP 151-45                          
LP 151-52                          
G 173-26                           
G 173-27                           
LSPM J0140+4806                    
LP 152-14                          
HD 12424                           
G 173-34                           
StKM 1-211                         
G 173-23                           
LP 152-39                          
BD+45 565                          
Z 552-23                           
HD 13594A                          
G 134-13                           
G 134-14                           
LP 153-7                           
StKM 1-258                         
2MASS J02115089+4728300            
G 134-30                           
LP 197-16                          
G 78-4                             
LP 197-48                          
PN A66 4                           
UGC 2172                           
StKM 1-291                         
NGC 1039 465                       
LP 197-56                          
HD 17922                           
HD 19071                           
G 95-2                             
UGC 2370                           
NGC 1159                           
NGC 1186                           
IC 284                             
NGC 1138                           
2MASS J02575455+4111324            
LP 198-477                         
LP 198-482                         
BD+39 710B                         
G 95-19                            
LP 198-542                         
UGC 2554                           
UGC 2617                           
UGC 2659                           
IC 1887                            
LP 198-596                         
PSR B0320+39                       
GD 44                              
LP 198-637                         
LP 247-29                          
LP 247-34                          
G 209-32                           
LP 233-1                           
GAL 079.30+01.30                   
V* V1521 Cyg                       
HD 229232                          
NAME IRAS 20264+4042 Cluster       
Ass Cyg OB 9                       
RAFGL 2591                         
HD 197037                          
G 209-40                           
Schulte 2                          
HD 195987                          
BD+41 3807                         
BD+40 4219                         
HD 195988                          
BD+40 4227B                        
Schulte 21                         
Schulte 24                         
IRAS Z20376+4109                   
Schulte 1                          
Schulte 66                         
RLP 1520                           
2MASS J20314163+4128209            
GSC 03161-01264                    
GSC 03161-01357                    
GSC 03161-00706                    
ALS 15168                          
RLP 492                            
[MT91] 213                         
[MT91] 215                         
GSC 03161-00885                    
RLP 527                            
[MT91] 221                         
ALS 15165                          
ALS 21113                          
Schulte 23                         
EM* AS 427                         
RLP 210                            
RLP 494                            
ALS 15156                          
ALS 15155                          
RLP 678                            
2MASS J20313364+4136046            
GSC 03161-01016                    
GSC 03161-01218                    
2MASS J20313055+4137159            
GSC 03161-01003                    
ALS 15166                          
V* V2190 Cyg                       
2MASS J20323835+4128567            
RLP 724                            
ALS 15180                          
2MASS J20331336+4126397            
ALS 15150                          
GSC 03161-01087                    
GSC 03161-01086                    
RLP 335                            
RLP 107                            
ALS 15189                          
BD+40 4227A                        
2MASS J20313415+4131082            
2MASS J20315540+4135276            
[MT91] 170                         
GSC 03161-00887                    
2MASS J20320311+4132302            
2MASS J20320465+4127483            
2MASS J20320565+4127489            
RLP 615                            
ALS 15167                          
2MASS J20321504+4119303            
RLP 619                            
GSC 03161-01342                    
RLP 530                            
GSC 03161-01109                    
RLP 631                            
GSC 03161-01143                    
Schulte 15                         
RLP 497                            
ALS 15186                          
ALS 15143                          
ALS 15135                          
ALS 21110                          
2MASS J20324675+4126160            
[MT91] 336                         
Schulte 41                         
Schulte 54                         
ALS 15190                          
2MASS J20331182+4124054            
Schulte 64                         
ALS 15184                          
ALS 15192                          
ALS 15177                          
[D75b] Em* 20+118                  
Schulte 74                         
GSC 03161-01190                    
ALS 15173                          
Schulte 29                         
ALS 15174                          
BD+41 3804                         
BD+40 4221                         
Schulte 20                         
2MASS J20323233+4122578            
GSC 03161-01302                    
Schulte 75                         
Schulte 30                         
RLP 1592                           
RLP 593                            
RLP 582                            
GSC 03157-00193                    
GSC 03157-00727                    
2MASS J20334758+4109064            
GSC 03157-01008                    
RLP 814                            
Ass Cyg OB 2                       
GSC 03161-01224                    
GEN# +9.00030603                   
ALS 15187                          
ALS 15170                          
Schulte 37                         
RLP 994                            
ALS 15161                          
ALS 15169                          
ALS 15179                          
GSC 03157-01112                    
Schulte 51                         
RLP 545                            
Schulte 19                         
Schulte 7                          
DR 21                              
LSPM J2032+4127                    
Schulte 16                         
Schulte 25                         
2MASS J20390285+4222001            
Schulte 8C                         
Schulte 9                          
2MASS J20385719+4222409            
BD+44 3567                         
* 56 Cyg                           
G 212-5                            
HD 200560                          
GSC 03588-00834                    
Cl* NGC 6996 VBC 309               
DSH J2101.7+4406                   
SH 1-89                            
NGC 7048                           
G 212-26                           
G 212-27                           
NGC 7062                           
IC 1369                            
PN M 1-77                          
2MASS J21163725+4645158            
HD 201924                          
PSR B2111+46                       
HD 203418                          
HD 204153                          
G 212-36                           
LSPM J2132+4754                    
PN M 1-79                          
LBN 094.79-01.77                   
Cl* NGC 7092 PLAT 7115             
V* V1726 Cyg                       
PM J21415+4925                     
V* V645 Cyg                        
G 232-42                           
Wolf 945                           
HD 207839                          
Case 666                           
PN M 2-49                          
Case 667                           
V* Y Lac                           
PN G097.6-02.4                     
UGC 11874                          
Case 669                           
Case 672                           
Case 673                           
NIKC 4-48                          
NIKC 4-55                          
IC 5217                            
G 232-64                           
G 232-67                           
G 232-69                           
V* PX Lac                          
BD+51 3268                         
V* LL Lac                          
TYC 3618-3191-1                    
LSPM J2214+5211                    
G 233-15                           
G 232-72                           
Cl Berkeley 98                     
HD 213338                          
HD 216320                          
G 233-42                           
G 233-43                           
V* FZ And                          
HD 219623                          
Ross 303                           
G 217-12                           
PN A66 83                          
HD 299                             
G 217-38                           
LSR J0013+5437                     
BD+53 79                           
PN Hu 1-1                          
G 217-45                           
G 217-43                           
PN Vy 1-1                          
TYC 3658-951-1                     
HD 4277                            
G 217-60                           
PM J00365+5537                     
G 217-56                           
HD 232365                          
G 218-20                           
G 172-36                           
* mu. Cas                          
HD 8054                            
HD 232436                          
G 172-51                           
GD 275                             
G 172-50                           
HD 9440                            
G 219-8                            
G 173-20                           
M 76                               
LEDA 2807103                       
HD 11151                           
G 173-37                           
G 173-39                           
G 173-44                           
LP 152-52                          
BD+47 612                          
UGC 1845                           
HD 15777                           
G 134-5                            
TYC 3298-687-1                     
LP 153-14                          
* kap Per                          
G 134-72                           
G 78-15                            
UGC 2422                           
NGC 1193                           
[TSK2008] 345                      
NGC 1160                           
2MASS J03010320+4416567            
G 134-68                           
G 78-18                            
NGC 1171                           
HD 19769                           
* l Per                            
UGC 2655                           
LP 198-291                         
G 78-32                            
UGC 2715                           
UGC 2689                           
NGC 1264                           
2MASX J03183598+4128380            
2MASX J03195296+4118082            
NGC 1268                           
NGC 1282                           
UGC 2717                           
G 95-30                            
NGC 1334                           
Wolf 146                           
UGC 2722                           
IC 316                             
Wolf 142                           
Wolf 140                           
2MASX J03245953+4306493            
HD 275363                          
UCAC2 45934980                     
HD 275458                          
G 209-22                           
G 209-18                           
IC 1311                            
Ass Cyg OB 8                       
IRAS 20126+4104                    
MCC 818                            
NAME Cl Barkhatova 1               
PSR J2044+4614                     
V* BZ Cyg                          
G 212-14                           
NGC 7026                           
Ass Cyg OB 7                       
NGC 6991                           
G 212-25                           
SH 2-120                           
G 212-20                           
SH 2-121                           
PN K 3-82                          
IRAS 21190+5140                    
PN K 3-83                          
NGC 7086                           
IRAS 21334+5039                    
RX J2133.7+5107                    
NGC 7058                           
PN K 3-62                          
BD+52 2996                         
BFS 8                              
2MASX J21394111+5120356            
Wolf 926                           
HD 208502                          
HD 209203                          
G 232-48                           
G 232-34                           
G 232-35                           
PSR B2148+52                       
TYC 3968-348-1                     
HD 211472                          
BD+53 2790                         
NGC 7245                           
HD 210144                          
GSH 101-02-37                      
G 232-62                           
PN G102.9-02.3                     
[KC97c] G102.9-00.7                
LBN 102.79-00.92                   
HD 212106                          
Ass Cep OB 1                       
Case 676                           
Ross 669                           
V* RR Lac                          
V* Z Lac                           
V* X Lac                           
V* V Lac                           
G 233-24                           
G 233-29                           
PN M 2-53                          
PN K 3-87                          
G 233-40                           
SH 2-143                           
LBN 108.59-02.73                   
PN M 1-80                          
Ass Cep OB 5                       
RMS G107.6823-02.2423A             
HD 219134                          
G 233-47                           
G 217-6                            
G 217-1                            
PN Hb 12                           
Cl Berkeley 102                    
BD+57 2735                         
V* RY Cas                          
PN G114.0-04.6                     
IRAS 23472+5656                    
NGC 7789                           
HD 222794                          
V* FM Cas                          
HD 70                              
HD 123A                            
V* SY Cas                          
Ross 310                           
HD 123B                            
TYC 3660-960-1                     
Case 522                           
G 218-7                            
EGGR 245                           
PN A66 2                           
G 218-14                           
* eta Cas B                        
PSR B0037+56                       
Cl King 2                          
Wolf 33                            
* eta Cas                          
G 218-24                           
NGC 281                            
* tet Cas                          
Ross 9                             
G 219-9                            
HD 8004                            
G 219-11                           
G 173-19                           
G 219-17                           
2MASX J01492892+5533543            
HD 10556                           
G 173-33                           
V* V471 Per                        
LSR J0157+5308                     
BD+52 570                          
BD+48 739                          
PN A66 5                           
* tet Per                          
* tet Per B                        
LP 154-64                          
G 78-11                            
HD 18768                           
UGC 2459                           
MCC 99                             
NGC 1169                           
NGC 1245                           
BD+43 699                          
G 78-28                            
Wolf 156                           
LP 154-220                         
HD 22521                           
HD 23050                           
BD+41 727                          
V* GK Per                          
HD 23439B                          
Ross 36                            
Wolf 194                           
HD 226978                          
PN Dd 1                            
G 125-50                           
HD 188753                          
HD 226393                          
V* V784 Cyg                        
TYC 3145-2124-1                    
V* SZ Cyg                          
Ross 176                           
G 209-30                           
HD 192985                          
HD 193701                          
PN A66 71                          
PN K 3-78                          
GD 393                             
Cl Berkeley 53                     
Ross 196                           
HD 235473                          
Cl Berkeley 55                     
GAL 093.06+02.81                   
Ross 198                           
PN K 3-61                          
G 231-44                           
Ross 201                           
LBN 096.23+02.55                   
EGGR 378                           
PN K 3-63                          
Ross 215                           
SH 2-128                           
V* CP Cep                          
WN B2154.8+5747                    
BD+55 2647                         
BGE 2153+57                        
* eps Cep                          
PN Bl 2-1                          
PN M 2-52                          
PN M 2-51                          
G 232-63                           
IRAS 22134+5834                    
NGC 7235                           
LBN 104.28+02.09                   
ATO J333.4670+57.0968              
ATO J332.8518+57.2657              
2MASS J22110446+5708417            
HD 210855                          
G 233-2                            
LBN 104.39+01.32                   
V* V351 Cep                        
G 232-70                           
HD 239999                          
HD 215588                          
Cl Berkeley 95                     
Cl Berkeley 97                     
LBN 106.32-00.35                   
IRAS 22305+5803                    
SH 2-138                           
* del Cep                          
HD 239960B                         
HD 240166                          
V* CR Cep                          
Ross 227                           
NGC 7419                           
LBN 108.78-01.01                   
SH 2-149                           
IRAS 22566+5828                    
SH 2-142                           
[KC97c] G107.2-01.0                
[HLB98] Onsala 170                 
SH 2-152                           
2MASS J22493142+5955421            
[BDS2003] 37                       
GSH 107+01-78                      
SH 2-147                           
JCMTSE J225855.3+592838            
V* SW Cas                          
SH 2-159                           
LBN 111.14-00.72                   
BFS 17                             
IRAS 23033+5951                    
IRAS 23139+5939                    
PSR J2304+60                       
TYC 4010-1650-1                    
[BDS2003] 42                       
IC 1470                            
V* V399 Cas                        
PN KjPn 8                          
HD 221354                          
G 217-14                           
LBN 113.53-00.67                   
LBN 113.05-04.51                   
Ross 231                           
Ross 232                           
NGC 7635                           
Ass Cas OB 2                       
NAME Cas A                         
V* CF Cas                          
V* CE Cas B                        
V* CE Cas A                        
G 217-18                           
HD 224233                          
LBN 115.71-01.61                   
SH 2-169                           
MCC 869                            
LBN 114.63-00.85                   
TYC 4013-1374-1                    
Ass Cas OB 5                       
HD 236348                          
V* BD Cas                          
G 217-32                           
HD 240476                          
GAT 1367                           
BD+60 73                           
V* V379 Cas                        
Wolf 10                            
V* DL Cas                          
NGC 136                            
V* V709 Cas                        
[I81] M 293                        
LBN 119.57-00.92                   
V* V1033 Cas                       
[I81] M 134                        
V* V1037 Cas                       
IC 10                              
Wolf 32                            
G 218-16                           
HD 5015                            
Wolf 15                            
Case 524                           
V* XY Cas                          
BD+58 118                          
LBN 623                            
* gam Cas                          
TYC 4016-920-1                     
HD 7284                            
Wolf 59                            
G 218-27                           
G 218-22                           
PSR B0114+58                       
EM* GGA 25                         
EM* GGA 30                         
Wolf 58                            
HD 236717                          
Case 527                           
NGC 457                            
G 219-3                            
TYC 3678-713-1                     
Case 534                           
Ross 10                            
Case 535                           
Case 531                           
HD 236890                          
Ross 14                            
HD 13403                           
V* CN Per                          
PN G131.4-05.4                     
V* EW Per                          
BD+53 467                          
HD 14039                           
G 220-6                            
V* V440 Per                        
G 173-55                           
LEDA 168300                        
G 173-58                           
HD 15407                           
HD 15407B                          
EGGR 314                           
HD 17379                           
G 174-25                           
UGC 2409                           
HD 232741                          
Ross 341                           
G 174-28                           
MCG+09-06-001                      
V* V565 Per                        
G 174-18                           
BD+49 873                          
* iot Per                          
Ross 346                           
HD 18916                           
HD 20548                           
BD+47 805                          
UGC 2773                           
HD 20675                           
G 78-25                            
2MASS J03195198+4848225            
Ross 355                           
LP 155-47                          
Cl Melotte 20                      
HD 21845                           
G 78-45                            
* 36 Per                           
HD 23140                           
HD 22520                           
G 78-48                            
PSR B0331+45                       
PM J03396+4531                     
G 95-59                            
Z 541-26                           
LP 200-31                          
HD 188100                          
BD+42 3434                         
HD 226317                          
V* V1154 Cyg                       
HD 226210                          
HD 186788                          
V* V1510 Cyg                       
TYC 3144-282-1                     
TYC 3144-2418-1                    
TYC 3145-27-1                      
TYC 3145-76-1                      
TYC 3145-323-1                     
TYC 3145-1170-1                    
G 208-45                           
G 208-44                           
HD 190064                          
HD 190148                          
G 209-11                           
NGC 6866                           
TYC 3149-473-1                     
TYC 3162-111-1                     
TYC 3558-1248-1                    
TYC 3558-2021-1                    
TYC 3558-2064-1                    
HD 192239                          
NGC 6884                           
* 43 Cyg                           
