V* V1876 Cyg
* 61 Cyg B
* tau Cyg
* 61 Cyg A
G 211-14
TYC 3182-50-1
V* V1334 Cyg
GAT 1383
HD 205286
L 1578-44 B
L 1578-44
PN Hu 1-2
BD+40 4631
G 212-54
HD 207966
HD 207966B
G 215-23
G 215-25
G 215-20
G 215-30
G 215-38
G 215-43
G 215-40
HD 213519
G 215-48
Ross 223
G 216-11
V* EV Lac
G 216-10
Ross 223A
Ross 223B
G 216-21
2MASS J22593244+4450284
G 216-28
HD 218868
BD+45 4188
HD 220221
HD 220445
BD+44 4400
HD 218949
Ross 247
LP 239-25
HD 220821
G 216-43
HD 222143
* lam And
BD+45 4378
LP 149-14
LP 239-58
IC 1525
BD+46 4175
HD 38B
HD 38A
BD+44 4548
1RXS J000849.7+461142
LP 191-37
LP 192-36
G 171-53
PM J00194+4614
LP 149-38
LP 149-50
LP 150-12
LP 150-6
BD+44 85
LP 150-16
BD+45 188
G 172-19
HD 3454
G 172-30
G 172-28
LP 193-564
LP 194-1
G 172-41
LP 194-39
HD 7799
LP 194-45
LP 194-47
HD 8671
* ome And
LP 194-53
LP 195-25
HD 10307
BD+43 395
G 133-55
HD 11926
HD 13371
V* V450 And
HD 13531
G 74-9
HD 14622
V* DU And
G 134-35
BD+39 539
GD 25
LP 196-58
BD+39 539B
BD+38 536
HD 16760
HD 16760B
IC 239
NGC 1023
* 16 Per
NGC 1058
Ross 331
HD 19308
HD 18900
UGC 2526
BD+34 548
HD 18493
LP 246-43
LP 246-45
LP 246-46
BD+37 4089
EGGR 261
HD 200077
V* VX Cyg
G 210-40
G 210-44
V* VY Cyg
BD+40 883
LP 234-1390
HD 203454
HD 200325
G 212-16
Cl Berkeley 54
V* V2069 Cyg
V* V386 Cyg
LP 234-2142
G 212-50
V* VZ Cyg
G 215-12
G 212-58
GSC 03192-00124
V* SS Cyg
V* V443 Lac
G 215-21
HD 210731
NGC 7231
V* AR Lac
BD+45 3901
HD 212107
BD+46 3778
G 215-54
PN Me 2-2
* 7 And
G 216-39
* 5 And
V* KZ And
HD 218739
HD 218790A
HD 218790B
TYC 3645-728-1
LSPM J2345+4942
HD 224465
Ross 250
G 171-25
Ross 249
EGGR 381
LP 149-36
LP 149-56
HD 2057
HD 3079
G 172-1
G 217-51
NGC 147
BD+48 250
LP 150-45
NGC 185
LP 150-44
G 172-26
IC 65
UGC 622
NGC 278
G 172-35
V* V359 And
LP 151-21
G 172-56
BD+47 414
HD 9125
LP 151-36
G 173-13
G 173-5
HD 10086
BD+44 351
BD+44 383
G 173-18
G 133-48
G 133-60
G 134-1
NGC 746
G 173-31
G 134-24
G 133-71
HD 13931
LP 196-29
[LE36] 2
LP 196-30
G 134-32
LP 197-5
NGC 891
G 74-29
NGC 1003
HD 15830
LP 197-24
* 12 Per
G 74-43
BD+39 680
G 134-63
UGC 2463
HD 275122
Wolf 1324
UGC 2543
HD 275227
LP 247-13
HD 19771A
HD 196850
G 209-38
GD 391
Ross 188
G 210-38
TYC 3170-429-1
V* TX Cyg
G 212-12
LSPM J2059+4202
NGC 7027
G 212-22
V* V1497 Cyg
LP 234-1558
LP 234-1707
LP 234-2214
LP 234-2426
V* V532 Cyg
LEDA 166712
IRAS 21287+4425
NAME Calar Alto 1
IC 5117
Case 659
G 212-45
LP 187-7
* rho Cyg
LSPM J2144+4610
HD 204814
HD 206963
Wolf 947
Wolf 944
HD 207031
Case 664
UGC 11909
UGC 11920
V* V383 Lac
GD 402
* alf Lac
G 216-2
G 215-46
HD 215704
LSPM J2237+4936N
HD 216275
LS III +51 42
G 216-30
BD+51 3557
LSPM J2311+5032
LSPM J2311+5103
G 233-55
LP 191-6
HD 223552
G 217-23
LSPM J2356+5311
G 217-31
TYC 3652-236-1
LP 149-35
V* TU Cas
LP 149-62
G 218-5
G 217-59
G 172-11
HD 3149
G 172-14
G 172-15
G 217-55
TYC 3257-1345-1
LP 150-13
HD 5372
G 172-22
LP 150-58
LP 151-22
LP 151-15
HD 9106
BD+49 436
GD 277
LP 151-52
G 173-26
G 173-27
LSPM J0140+4806
LP 152-14
HD 12424
G 173-34
StKM 1-211
G 173-23
LP 152-39
BD+45 565
HD 13594A
G 134-13
G 134-14
LP 153-7
StKM 1-258
G 134-30
LP 197-16
G 78-4
LP 197-48
StKM 1-291
NGC 1039 465
HD 17922
HD 19071
G 95-2
NGC 1186
IC 284
NGC 1138
LP 198-477
LP 198-482
BD+39 710B
G 95-19
LP 198-542
UGC 2554
UGC 2617
IC 1887
LP 198-596
GD 44
LP 198-637
LP 247-29
LP 247-34
G 209-32
LP 233-1
HD 229232
NAME IRAS 20264+4042 Cluster
HD 197037
G 209-40
Schulte 2
HD 195987
BD+41 3807
BD+40 4219
HD 195988
BD+40 4227B
Schulte 21
Schulte 24
Schulte 1
Schulte 66
RLP 1520
2MASS J20314163+4128209
GSC 03161-01264
GSC 03161-01357
GSC 03161-00706
ALS 15168
RLP 492
[MT91] 213
[MT91] 215
GSC 03161-00885
RLP 527
[MT91] 221
ALS 15165
ALS 21113
Schulte 23
EM* AS 427
RLP 210
RLP 494
ALS 15156
ALS 15155
RLP 678
2MASS J20313364+4136046
GSC 03161-01016
GSC 03161-01218
2MASS J20313055+4137159
GSC 03161-01003
ALS 15166
V* V2190 Cyg
2MASS J20323835+4128567
RLP 724
ALS 15180
2MASS J20331336+4126397
ALS 15150
GSC 03161-01087
GSC 03161-01086
RLP 335
RLP 107
ALS 15189
BD+40 4227A
2MASS J20313415+4131082
2MASS J20315540+4135276
[MT91] 170
GSC 03161-00887
2MASS J20320311+4132302
2MASS J20320465+4127483
2MASS J20320565+4127489
RLP 615
ALS 15167
2MASS J20321504+4119303
RLP 619
GSC 03161-01342
RLP 530
GSC 03161-01109
RLP 631
GSC 03161-01143
Schulte 15
RLP 497
ALS 15186
ALS 15143
ALS 15135
ALS 21110
2MASS J20324675+4126160
[MT91] 336
Schulte 41
